timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1426437771.519131,-6.201950,31.698807,-246.296280
1426437771.538943,-6.546494,31.698807,-244.632111
1426437771.558752,-6.718781,30.837418,-245.131363
1426437771.578557,-9.130646,30.837418,-246.462692
1426437771.598357,-6.546494,31.354248,-246.296280
1426437771.618163,-7.063324,30.148315,-247.794022
1426437771.637971,-7.235611,30.320587,-245.297775
1426437771.657783,-6.546494,30.665146,-246.629105
1426437771.677584,-8.096985,29.803772,-245.797028
1426437771.697396,-7.235611,29.976044,-244.964951
1426437771.717208,-8.269257,28.942383,-246.629105
1426437771.737007,-6.718781,29.459213,-244.798523
1426437771.756813,-6.891052,30.665146,-245.297775
1426437771.776619,-6.374222,30.492874,-245.464188
1426437771.796424,-6.546494,31.698807,-246.296280
1426437771.816233,-6.891052,31.698807,-246.629105
1426437771.836043,-6.029678,30.837418,-245.131363
1426437771.855844,-7.063324,31.181976,-246.129852
1426437771.875652,-6.201950,31.009705,-244.964951
1426437771.895461,-6.718781,31.526520,-245.797028
1426437771.915258,-7.752441,30.837418,-245.464188
1426437771.935065,-7.235611,31.009705,-245.963440
1426437771.954871,-7.063324,31.181976,-246.129852
1426437771.974677,-7.752441,31.526520,-245.464188
1426437771.994478,-7.752441,31.526520,-245.797028
1426437772.014290,-7.580154,31.009705,-245.297775
1426437772.034087,-7.924713,32.387909,-245.963440
1426437772.053898,-7.580154,30.665146,-245.630615
1426437772.073705,-6.029678,30.492874,-245.797028
1426437772.093516,-7.063324,31.526520,-245.797028
1426437772.113317,-7.063324,30.492874,-246.462692
1426437772.133122,-8.269257,30.665146,-245.963440
1426437772.152930,-6.374222,30.148315,-244.465698
1426437772.172762,-7.063324,31.871078,-245.464188
1426437772.192562,-7.407883,30.148315,-245.797028
1426437772.212362,-7.063324,31.526520,-245.464188
1426437772.232164,-7.063324,30.492874,-245.131363
1426437772.251971,-7.235611,29.976044,-246.961945
1426437772.271768,-6.546494,29.976044,-246.629105
1426437772.291567,-6.374222,30.492874,-246.462692
1426437772.311383,-7.752441,30.492874,-246.129852
1426437772.331183,-7.063324,30.492874,-245.131363
1426437772.350979,-7.407883,30.837418,-245.464188
1426437772.370800,-5.857391,31.354248,-246.296280
1426437772.390607,-6.718781,29.459213,-245.797028
1426437772.410407,-7.752441,31.181976,-245.464188
1426437772.430217,-6.718781,30.837418,-246.129852
1426437772.450023,-6.029678,30.148315,-244.465698
1426437772.469830,-6.718781,30.837418,-245.131363
1426437772.489631,-6.374222,29.803772,-245.797028
1426437772.509442,-6.546494,32.043350,-245.630615
1426437772.527956,-7.752441,31.526520,-245.797028
1426437772.547761,-7.407883,31.181976,-246.129852
1426437772.567578,-6.029678,30.837418,-246.462692
1426437772.587384,-6.201950,31.698807,-244.964951
1426437772.607161,-5.685120,31.181976,-245.464188
1426437772.626995,-6.891052,31.698807,-246.629105
1426437772.646770,-6.546494,32.387909,-246.296280
1426437772.666577,-7.235611,31.009705,-245.297775
1426437772.686382,-7.580154,31.698807,-246.961945
1426437772.706189,-6.718781,31.871078,-246.462692
1426437772.725998,-7.752441,32.215637,-246.795517
1426437772.745796,-6.374222,32.215637,-247.128357
1426437772.765605,-7.063324,31.526520,-244.798523
1426437772.785411,-7.235611,32.387909,-245.630615
1426437772.805227,-6.201950,31.009705,-245.630615
1426437772.825035,-7.063324,32.215637,-246.129852
1426437772.844843,-5.512848,31.698807,-244.964951
1426437772.864642,-5.512848,30.665146,-244.964951
1426437772.884447,-6.718781,32.904739,-246.129852
1426437772.904253,-5.512848,30.665146,-245.630615
1426437772.924057,-4.823746,30.665146,-245.963440
1426437772.943865,-6.374222,31.526520,-244.798523
1426437772.963673,-5.857391,29.631485,-246.629105
1426437772.983472,-5.512848,31.009705,-246.296280
1426437773.003279,-6.546494,30.665146,-245.963440
1426437773.023085,-6.374222,30.148315,-245.464188
1426437773.042888,-6.546494,31.354248,-243.300781
1426437773.062700,-7.752441,30.148315,-244.132858
1426437773.082503,-8.613815,29.976044,-243.633606
1426437773.102302,-11.025681,28.253281,-242.302277
1426437773.122112,-9.475189,28.425552,-242.135864
1426437773.141912,-10.164307,27.391891,-240.138870
1426437773.161716,-11.025681,29.976044,-241.636612
1426437773.181529,-10.508850,31.871078,-243.800034
1426437773.201330,-10.681122,32.387909,-243.966446
1426437773.221137,-10.336578,32.043350,-243.633606
1426437773.240948,-11.370239,32.043350,-242.302277
1426437773.260738,-9.992020,30.320587,-242.967941
1426437773.280546,-11.197952,30.148315,-243.134369
1426437773.300346,-9.819748,30.837418,-242.801529
1426437773.320154,-9.130646,29.459213,-242.468704
1426437773.339952,-9.819748,30.492874,-242.801529
1426437773.359764,-11.370239,30.320587,-241.636612
1426437773.379567,-11.370239,29.631485,-241.969452
1426437773.399376,-7.235611,29.286942,-242.967941
1426437773.419181,-5.685120,28.081009,-244.798523
1426437773.438990,-5.512848,29.631485,-244.632111
1426437773.458804,-3.962357,29.459213,-243.467194
1426437773.478612,-5.685120,30.492874,-244.132858
1426437773.498419,-5.512848,29.631485,-244.632111
1426437773.518233,-7.752441,28.425552,-244.465698
1426437773.539347,-7.924713,27.908722,-242.635117
1426437773.559155,-10.336578,27.908722,-241.303787
1426437773.578934,-9.475189,27.047348,-240.804535
1426437773.598757,-9.819748,25.669144,-238.807541
1426437773.618542,-10.164307,26.358246,-240.471695
1426437773.638347,-11.025681,26.875076,-240.970947
1426437773.658153,-11.714783,28.253281,-241.636612
1426437773.677959,-10.164307,28.770111,-243.134369
1426437773.697752,-7.924713,28.597824,-242.967941
1426437773.717574,-8.958374,28.253281,-244.299271
1426437773.737377,-6.029678,26.358246,-241.803024
1426437773.757184,-7.924713,24.807755,-241.303787
1426437773.776995,-8.096985,24.980026,-240.471695
1426437773.796790,-7.752441,24.980026,-240.804535
1426437773.816600,-7.924713,23.429550,-238.641113
1426437773.836407,-8.613815,23.429550,-238.641113
1426437773.856207,-6.374222,23.601822,-241.137360
1426437773.876014,-5.340561,23.946381,-242.801529
1426437773.895820,-3.617813,26.013687,-242.801529
1426437773.915623,-5.340561,25.324585,-242.135864
1426437773.935430,-5.168289,23.429550,-240.638123
1426437773.955234,-5.512848,21.706787,-237.975449
1426437773.975046,-6.029678,24.290924,-237.476212
1426437773.994850,-7.407883,23.257278,-238.474701
1426437774.014661,-8.613815,22.740448,-236.311295
1426437774.034461,-10.164307,24.635483,-237.476212
1426437774.054271,-11.025681,24.463211,-238.641113
1426437774.074080,-12.403885,25.152313,-237.975449
1426437774.093883,-13.092987,26.875076,-239.306778
1426437774.113689,-11.370239,25.496857,-238.973953
1426437774.133496,-12.403885,27.564178,-238.973953
1426437774.153302,-13.265274,26.358246,-239.473206
1426437774.173108,-12.403885,25.841415,-239.972458
1426437774.192924,-14.126648,25.496857,-239.972458
1426437774.212745,-14.126648,26.875076,-238.308289
1426437774.232535,-13.609818,24.980026,-239.140366
1426437774.252345,-14.471207,27.908722,-240.305283
1426437774.272168,-13.437546,30.665146,-243.300781
1426437774.291973,-12.059341,31.354248,-244.299271
1426437774.311779,-11.025681,30.665146,-244.299271
1426437774.331585,-8.269257,30.665146,-244.299271
1426437774.351390,-8.096985,29.114655,-243.800034
1426437774.371196,-10.336578,29.286942,-243.966446
1426437774.391033,-11.714783,29.286942,-241.636612
1426437774.410840,-11.542511,29.459213,-242.468704
1426437774.430646,-14.815750,28.597824,-243.966446
1426437774.450462,-14.643478,28.081009,-240.138870
1426437774.470277,-14.298920,29.459213,-240.804535
1426437774.490093,-14.298920,30.148315,-239.806030
1426437774.509916,-14.126648,30.665146,-241.969452
1426437774.529753,-12.576172,31.871078,-243.134369
1426437774.549934,-12.920715,29.803772,-242.801529
1426437774.569761,-11.370239,29.631485,-242.302277
1426437774.589575,-11.025681,27.219620,-241.969452
1426437774.609404,-12.576172,27.047348,-242.801529
1426437774.629200,-12.403885,27.908722,-241.303787
1426437774.649022,-12.920715,28.770111,-242.801529
1426437774.668868,-12.920715,28.081009,-241.803024
1426437774.688664,-11.887054,27.391891,-242.135864
1426437774.708493,-11.370239,26.530518,-241.969452
1426437774.728317,-8.613815,27.219620,-240.638123
1426437774.748119,-9.130646,27.047348,-243.800034
1426437774.767956,-8.786087,27.736450,-243.800034
1426437774.787750,-7.063324,28.770111,-244.465698
1426437774.807598,-7.235611,27.219620,-243.633606
1426437774.827405,-7.924713,27.219620,-243.966446
1426437774.847205,-8.441544,26.702789,-243.467194
1426437774.867032,-8.613815,27.219620,-242.302277
1426437774.886853,-8.441544,26.358246,-242.468704
1426437774.906659,-9.819748,26.013687,-241.803024
1426437774.926490,-11.197952,24.980026,-240.804535
1426437774.946306,-10.853409,24.980026,-241.470200
1426437774.966132,-10.681122,25.152313,-239.306778
1426437774.985938,-10.681122,25.496857,-240.305283
1426437775.005751,-12.576172,26.358246,-242.135864
1426437775.025567,-10.853409,27.047348,-243.467194
1426437775.045384,-9.475189,28.081009,-242.135864
1426437775.065193,-8.441544,27.736450,-243.134369
1426437775.085018,-9.130646,25.669144,-241.803024
1426437775.104834,-8.613815,25.152313,-242.635117
1426437775.124655,-9.992020,25.841415,-242.302277
1426437775.144468,-10.508850,27.391891,-241.803024
1426437775.164281,-8.958374,26.530518,-241.969452
1426437775.184098,-9.819748,25.669144,-240.471695
1426437775.203918,-9.475189,23.601822,-241.803024
1426437775.223731,-7.752441,24.290924,-241.137360
1426437775.243545,-7.235611,23.084991,-241.636612
1426437775.263356,-7.407883,24.635483,-243.134369
1426437775.283174,-5.685120,24.635483,-242.801529
1426437775.302987,-7.063324,27.047348,-243.134369
1426437775.322802,-7.063324,26.702789,-245.131363
1426437775.342616,-6.374222,27.047348,-244.132858
1426437775.362432,-9.475189,26.013687,-243.134369
1426437775.382249,-7.924713,27.908722,-243.300781
1426437775.402071,-9.992020,27.219620,-241.969452
1426437775.421883,-9.475189,25.669144,-243.800034
1426437775.441702,-8.613815,25.841415,-242.635117
1426437775.461521,-11.197952,24.635483,-242.135864
1426437775.481341,-12.059341,25.152313,-240.970947
1426437775.501155,-12.576172,24.635483,-240.471695
1426437775.520978,-10.681122,25.152313,-239.306778
1426437775.540788,-13.437546,27.219620,-239.972458
1426437775.561069,-11.887054,26.358246,-240.804535
1426437775.580887,-12.059341,27.219620,-241.969452
1426437775.600706,-9.475189,29.114655,-243.134369
1426437775.620524,-9.819748,26.702789,-242.468704
1426437775.640340,-10.508850,27.047348,-242.135864
1426437775.660164,-10.164307,28.425552,-242.135864
1426437775.679973,-9.819748,27.047348,-241.803024
1426437775.699785,-9.647476,26.530518,-241.969452
1426437775.719612,-8.096985,25.669144,-242.135864
1426437775.739432,-8.441544,24.980026,-242.468704
1426437775.759251,-9.647476,25.496857,-239.972458
1426437775.779059,-7.924713,25.152313,-241.636612
1426437775.798901,-7.063324,25.669144,-242.468704
1426437775.818713,-6.718781,26.013687,-243.800034
1426437775.838528,-6.546494,25.841415,-242.967941
1426437775.858336,-5.857391,27.564178,-243.633606
1426437775.878172,-7.063324,26.013687,-244.132858
1426437775.897991,-6.029678,26.358246,-243.467194
1426437775.917795,-5.512848,27.908722,-243.966446
1426437775.937603,-6.891052,27.564178,-243.633606
1426437775.957439,-7.407883,25.669144,-242.801529
1426437775.977245,-7.752441,24.290924,-240.138870
1426437775.997082,-8.096985,24.290924,-241.803024
1426437776.016888,-9.130646,25.324585,-241.137360
1426437776.036705,-8.269257,24.118652,-240.638123
1426437776.056519,-7.924713,26.185959,-241.303787
1426437776.076346,-9.647476,26.530518,-240.305283
1426437776.096167,-9.302917,25.496857,-241.636612
1426437776.115982,-9.992020,26.530518,-241.636612
1426437776.135812,-7.924713,27.219620,-241.303787
1426437776.155630,-7.924713,28.942383,-242.635117
1426437776.175447,-9.302917,28.253281,-243.300781
1426437776.195263,-7.407883,26.013687,-242.801529
1426437776.215100,-8.096985,25.669144,-242.801529
1426437776.234906,-7.063324,24.980026,-241.137360
1426437776.254741,-5.857391,25.152313,-241.303787
1426437776.274548,-6.718781,23.946381,-240.471695
1426437776.294385,-7.580154,22.051346,-241.636612
1426437776.314190,-5.512848,24.118652,-241.303787
1426437776.333996,-4.996017,24.635483,-241.803024
1426437776.353832,-3.962357,24.635483,-242.468704
1426437776.373639,-3.962357,23.257278,-242.468704
1426437776.393456,-3.445526,23.084991,-242.302277
1426437776.413279,-2.411880,22.740448,-242.635117
1426437776.433086,-3.617813,22.223618,-240.804535
1426437776.452921,-3.790085,22.740448,-242.635117
1426437776.472728,-4.651459,23.601822,-240.804535
1426437776.492559,-4.651459,22.568161,-241.137360
1426437776.512371,-5.340561,22.568161,-240.138870
1426437776.532207,-5.168289,21.706787,-239.306778
1426437776.552014,-7.063324,21.534515,-238.141876
1426437776.570662,-6.891052,21.017685,-239.972458
1426437776.590484,-9.302917,22.051346,-237.975449
1426437776.610283,-8.613815,22.395889,-237.975449
1426437776.630096,-8.958374,25.496857,-240.305283
1426437776.649945,-8.786087,26.358246,-241.137360
1426437776.669742,-8.269257,24.463211,-240.305283
1426437776.689563,-11.197952,23.601822,-238.474701
1426437776.709379,-10.336578,24.463211,-239.306778
1426437776.729194,-8.096985,23.601822,-238.807541
1426437776.749017,-7.235611,24.463211,-240.638123
1426437776.768838,-6.546494,24.118652,-240.305283
1426437776.788652,-7.580154,23.774094,-239.639618
1426437776.808477,-5.168289,24.118652,-239.972458
1426437776.828292,-7.235611,24.807755,-240.305283
1426437776.848108,-8.269257,24.118652,-239.639618
1426437776.867925,-9.302917,25.496857,-237.975449
1426437776.887742,-9.130646,23.601822,-238.807541
1426437776.907565,-8.786087,23.946381,-239.140366
1426437776.927381,-9.130646,24.980026,-239.473206
1426437776.947197,-9.992020,25.841415,-240.305283
