timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426433279.323217,0.018731,-0.030651,-0.036388
1426433279.333223,-0.006953,-0.043203,-0.044818
1426433279.343235,-0.026109,-0.036673,-0.047894
1426433279.353241,-0.029182,-0.012149,-0.048863
1426433279.363243,-0.012058,0.012298,-0.054191
1426433279.373249,0.016774,0.028108,-0.054283
1426433279.383270,0.043482,0.037489,-0.049063
1426433279.393276,0.060583,0.043741,-0.044869
1426433279.403275,0.063806,0.049047,-0.044868
1426433279.413281,0.054221,0.050178,-0.045881
1426433279.423288,0.043574,0.042733,-0.040530
1426433279.433294,0.023356,0.026753,-0.027707
1426433279.443301,-0.003224,0.009705,-0.010598
1426433279.453307,-0.027672,0.002289,0.000145
1426433279.463323,-0.042669,-0.010375,-0.003015
1426433279.473329,-0.048069,-0.004887,-0.016809
1426433279.483327,-0.044985,-0.019775,-0.021131
1426433279.493333,-0.037659,-0.048603,-0.018069
1426433279.503340,-0.034491,-0.058237,-0.014922
1426433279.513346,-0.036610,-0.048589,-0.020203
1426433279.523352,-0.038629,-0.022987,-0.023303
1426433279.533358,-0.036482,-0.016589,-0.025421
1426433279.543367,-0.040774,-0.030460,-0.020123
1426433279.553373,-0.047160,-0.042219,-0.011613
1426433279.563378,-0.048232,-0.049708,-0.007374
1426433279.573384,-0.049283,-0.048647,-0.006301
1426433279.583391,-0.042802,-0.029504,-0.007335
1426433279.593397,-0.031027,-0.014641,-0.009474
1426433279.603404,-0.016180,-0.024302,-0.010644
1426433279.613410,-0.013051,-0.041391,-0.007522
1426433279.623418,-0.023660,-0.037090,-0.005326
1426433279.633424,-0.041613,-0.002865,-0.009383
1426433279.643431,-0.046786,0.036641,-0.016679
1426433279.653437,-0.032864,0.057902,-0.020937
1426433279.663444,-0.011528,0.064160,-0.019959
1426433279.673450,0.004436,0.059787,-0.017923
1426433279.683457,0.012822,0.033103,-0.016988
1426433279.693463,0.008431,0.003278,-0.013870
1426433279.703469,-0.000213,-0.022244,-0.012846
1426433279.713475,-0.010996,-0.040237,-0.018174
