timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1426433534.060470,26.702789,50.132355,-247.461182
1426433534.080276,26.875076,50.993729,-246.296280
1426433534.100084,27.564178,49.960068,-245.963440
1426433534.119895,28.425552,49.787796,-247.461182
1426433534.139699,27.219620,51.338287,-246.629105
1426433534.159513,27.736450,49.443237,-247.794022
1426433534.179328,27.564178,49.960068,-246.961945
1426433534.199138,29.976044,49.615524,-247.294769
1426433534.218949,28.770111,50.821457,-245.131363
1426433534.238751,28.942383,51.338287,-246.961945
1426433534.258569,27.908722,49.615524,-246.961945
1426433534.278392,27.736450,50.821457,-246.462692
1426433534.298190,28.597824,50.649170,-248.293274
1426433534.318008,28.942383,50.993729,-245.963440
1426433534.337810,25.841415,51.682831,-246.629105
1426433534.357631,27.047348,50.821457,-245.464188
1426433534.377427,28.597824,51.682831,-246.961945
1426433534.397232,28.597824,51.338287,-245.963440
1426433534.417069,28.425552,52.544220,-247.461182
1426433534.436873,27.391891,51.510559,-246.795517
1426433534.456679,28.081009,51.510559,-246.462692
1426433534.476486,28.253281,52.716492,-247.960434
1426433534.496322,28.770111,51.510559,-246.795517
1426433534.516129,28.253281,51.682831,-245.963440
1426433534.535927,27.391891,51.166000,-246.795517
1426433534.555762,27.047348,52.544220,-246.129852
1426433534.575555,27.047348,52.888763,-246.129852
1426433534.595392,27.736450,50.821457,-246.129852
1426433534.615178,26.875076,52.371933,-247.294769
1426433534.634987,26.530518,52.027390,-246.629105
1426433534.654804,26.702789,51.166000,-246.462692
1426433534.674618,27.564178,52.371933,-246.296280
1426433534.694425,27.391891,52.199661,-247.128357
1426433534.714243,27.219620,51.682831,-246.961945
1426433534.734052,26.875076,51.338287,-245.630615
1426433534.753859,26.358246,52.888763,-246.795517
1426433534.773677,28.081009,51.855118,-246.795517
1426433534.793489,25.841415,50.993729,-246.629105
1426433534.813302,26.702789,51.510559,-247.128357
1426433534.833115,26.702789,52.199661,-247.461182
1426433534.852927,26.530518,52.027390,-247.960434
1426433534.872741,27.564178,52.371933,-246.961945
1426433534.892557,26.875076,51.682831,-246.961945
1426433534.912362,26.875076,52.371933,-246.961945
1426433534.932183,27.047348,50.821457,-246.795517
1426433534.951993,26.185959,52.027390,-247.294769
1426433534.971807,24.807755,51.338287,-246.961945
1426433534.991610,27.391891,51.510559,-246.129852
1426433535.011419,26.358246,52.544220,-246.462692
1426433535.031230,26.013687,52.544220,-246.462692
1426433535.051040,26.358246,53.922424,-246.129852
1426433535.071253,26.185959,54.094696,-246.961945
1426433535.091069,26.013687,53.233322,-246.795517
1426433535.110874,26.702789,53.577866,-246.795517
1426433535.130711,24.118652,54.783798,-246.961945
1426433535.150521,25.669144,53.233322,-245.131363
1426433535.170324,25.841415,53.061050,-246.961945
1426433535.190129,25.841415,53.405594,-245.963440
1426433535.209934,25.152313,54.439255,-247.294769
1426433535.229747,24.463211,53.405594,-246.629105
1426433535.249577,26.013687,54.611526,-246.129852
1426433535.269383,25.324585,53.577866,-247.128357
1426433535.289190,26.530518,54.783798,-246.961945
1426433535.308985,25.841415,54.439255,-246.961945
1426433535.328798,26.702789,55.645187,-246.129852
1426433535.348607,26.875076,54.783798,-247.627609
1426433535.368417,26.702789,54.956085,-245.464188
1426433535.388225,26.530518,54.094696,-246.961945
1426433535.408029,27.736450,53.233322,-245.797028
1426433535.427841,27.219620,53.405594,-246.296280
1426433535.447647,26.013687,53.922424,-246.795517
1426433535.467452,27.047348,54.266983,-245.797028
1426433535.487265,27.047348,54.266983,-246.129852
1426433535.507078,26.530518,54.094696,-247.294769
1426433535.526888,27.736450,52.544220,-246.129852
1426433535.546696,28.597824,53.750153,-246.961945
1426433535.566506,28.081009,53.922424,-246.462692
1426433535.586317,28.081009,51.855118,-245.464188
1426433535.606126,29.114655,51.855118,-246.129852
1426433535.625934,28.597824,54.439255,-245.630615
1426433535.645744,28.253281,53.405594,-245.630615
1426433535.665555,28.253281,52.716492,-246.961945
1426433535.685362,29.803772,51.855118,-247.794022
1426433535.705167,28.597824,50.304626,-246.961945
1426433535.724974,29.286942,50.649170,-247.294769
1426433535.744784,31.009705,50.993729,-246.961945
1426433535.764593,30.837418,48.409592,-245.464188
1426433535.784407,29.976044,49.615524,-245.630615
1426433535.804215,31.526520,48.754135,-245.797028
1426433535.824022,33.249283,48.754135,-245.464188
1426433535.843836,31.871078,48.065033,-245.797028
1426433535.863647,32.215637,48.065033,-245.797028
1426433535.883453,32.560181,48.065033,-245.464188
1426433535.903270,33.249283,47.720490,-245.464188
1426433535.923081,33.249283,46.686829,-244.798523
1426433535.942891,33.249283,48.409592,-244.798523
1426433535.962700,31.871078,48.409592,-245.464188
1426433535.982515,32.904739,48.409592,-245.797028
1426433536.002323,32.043350,50.993729,-245.963440
1426433536.022139,31.354248,49.615524,-244.632111
1426433536.041949,31.871078,50.132355,-246.129852
1426433536.061759,29.286942,50.304626,-245.297775
1426433536.081933,29.803772,50.476898,-246.462692
1426433536.101744,28.942383,50.649170,-247.960434
1426433536.121554,29.114655,49.787796,-248.126862
1426433536.141364,28.425552,51.166000,-248.126862
1426433536.161171,29.631485,50.304626,-248.293274
1426433536.180985,27.908722,50.649170,-247.627609
1426433536.200796,28.597824,50.649170,-248.293274
1426433536.220605,29.976044,49.960068,-246.629105
1426433536.240436,27.564178,52.371933,-247.960434
1426433536.260245,29.286942,52.371933,-248.293274
1426433536.280034,28.081009,51.510559,-248.792526
1426433536.299839,26.530518,50.993729,-248.293274
1426433536.319677,26.702789,50.476898,-245.464188
1426433536.339483,28.597824,50.304626,-247.960434
1426433536.359288,27.564178,49.960068,-247.960434
1426433536.379093,26.875076,50.993729,-247.627609
1426433536.398900,25.496857,52.027390,-248.293274
1426433536.418705,24.807755,50.993729,-247.294769
1426433536.438511,26.185959,49.615524,-248.293274
1426433536.458318,26.702789,51.510559,-249.458191
1426433536.478124,26.530518,50.304626,-249.291763
1426433536.497959,26.185959,52.027390,-248.626099
1426433536.517770,27.219620,50.304626,-248.626099
1426433536.537582,26.358246,51.510559,-249.791016
1426433536.557409,26.013687,49.787796,-248.792526
1426433536.577214,26.185959,50.304626,-248.958939
1426433536.597020,26.358246,50.476898,-248.459686
1426433536.616817,24.980026,51.510559,-250.123856
1426433536.636636,27.736450,50.476898,-247.128357
1426433536.656447,26.875076,50.649170,-247.627609
1426433536.676266,26.185959,52.371933,-248.293274
1426433536.696102,25.669144,52.199661,-247.461182
1426433536.715890,25.324585,52.888763,-248.459686
1426433536.735701,25.496857,52.027390,-248.958939
1426433536.755516,26.185959,52.027390,-249.957428
1426433536.775334,27.564178,50.993729,-246.961945
1426433536.795165,27.047348,49.787796,-247.794022
1426433536.814966,27.908722,50.649170,-247.627609
1426433536.834785,27.564178,50.993729,-248.293274
1426433536.854591,28.081009,50.821457,-248.126862
1426433536.874409,28.253281,50.993729,-248.293274
1426433536.894225,27.564178,50.993729,-248.293274
1426433536.914036,26.875076,50.649170,-248.626099
1426433536.933850,26.875076,51.338287,-247.960434
1426433536.953664,26.013687,49.787796,-248.126862
1426433536.973472,27.736450,48.409592,-248.792526
1426433536.993279,27.391891,48.409592,-248.459686
1426433537.013088,28.425552,50.476898,-247.128357
1426433537.032896,27.736450,50.821457,-247.794022
1426433537.052709,28.942383,49.615524,-248.293274
1426433537.072519,29.631485,48.237305,-248.293274
1426433537.091646,27.391891,48.754135,-247.461182
1426433537.111441,27.908722,48.581863,-247.627609
1426433537.131256,27.391891,48.065033,-248.126862
1426433537.151067,27.736450,48.409592,-249.791016
1426433537.170879,27.564178,48.581863,-248.293274
1426433537.190680,28.425552,49.443237,-249.125351
1426433537.210492,28.425552,49.443237,-249.125351
1426433537.230304,27.736450,48.409592,-247.794022
1426433537.250113,28.597824,48.581863,-248.626099
1426433537.269924,27.736450,48.754135,-249.125351
1426433537.289735,29.286942,48.237305,-247.627609
1426433537.309540,29.459213,49.443237,-247.794022
1426433537.329352,27.908722,48.581863,-249.291763
1426433537.349163,28.597824,49.960068,-247.294769
1426433537.368974,28.253281,49.270966,-247.960434
1426433537.388783,27.564178,47.548203,-249.291763
1426433537.408597,28.253281,49.615524,-247.960434
1426433537.428402,27.908722,50.649170,-248.626099
1426433537.448218,28.942383,49.615524,-248.958939
1426433537.468027,27.564178,50.304626,-249.291763
1426433537.487838,27.908722,49.615524,-247.627609
1426433537.507647,27.736450,50.132355,-249.791016
1426433537.527462,27.219620,49.960068,-248.626099
1426433537.547266,25.841415,49.960068,-249.624603
1426433537.567111,25.152313,49.960068,-249.291763
1426433537.586897,24.807755,49.615524,-249.957428
1426433537.606728,25.324585,48.065033,-249.458191
1426433537.626527,25.496857,47.892761,-249.624603
1426433537.646336,26.185959,47.548203,-248.626099
1426433537.666172,27.908722,48.581863,-250.290268
1426433537.685979,27.047348,47.375931,-249.458191
1426433537.705787,28.425552,47.720490,-248.126862
1426433537.725591,27.564178,47.892761,-247.294769
1426433537.745396,27.908722,46.169998,-250.623108
1426433537.765202,27.564178,47.548203,-249.291763
1426433537.785015,28.425552,47.720490,-249.458191
1426433537.804845,27.391891,48.409592,-249.791016
1426433537.824639,27.564178,47.203659,-248.958939
1426433537.844450,26.530518,48.926422,-249.957428
1426433537.864262,29.459213,47.375931,-249.791016
1426433537.884070,27.736450,47.720490,-248.792526
1426433537.903879,27.219620,49.270966,-250.623108
1426433537.923690,27.391891,48.065033,-249.458191
1426433537.943502,27.908722,49.270966,-248.293274
1426433537.963323,27.391891,49.443237,-248.792526
1426433537.983127,28.253281,47.892761,-249.624603
1426433538.002943,26.530518,47.892761,-248.626099
1426433538.022754,28.597824,47.203659,-248.958939
1426433538.042564,28.253281,48.581863,-249.291763
1426433538.062383,28.081009,48.065033,-249.125351
1426433538.082189,28.770111,48.065033,-249.125351
