timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1426438011.590765,42.552200,39.795776,-241.803024
1426438011.610573,41.346268,41.001709,-242.635117
1426438011.630382,43.413574,38.934402,-241.636612
1426438011.650194,43.413574,41.001709,-240.305283
1426438011.670009,44.619507,39.106674,-239.806030
1426438011.689822,45.653168,38.762131,-238.807541
1426438011.709627,44.102692,41.690811,-240.970947
1426438011.729438,43.241302,39.795776,-242.468704
1426438011.749256,42.379929,39.278946,-241.969452
1426438011.769062,41.518539,39.451233,-242.135864
1426438011.788874,40.312607,37.900742,-244.632111
1426438011.808688,38.245300,38.589844,-244.632111
1426438011.828505,37.728470,39.795776,-245.131363
1426438011.848315,38.589844,37.556198,-245.963440
1426438011.868121,36.005707,37.383911,-245.464188
1426438011.887932,36.350250,37.039368,-246.129852
1426438011.907741,36.005707,38.073013,-246.795517
1426438011.927548,33.077011,37.900742,-247.294769
1426438011.947368,33.938385,37.383911,-246.795517
1426438011.967165,32.904739,38.073013,-247.128357
1426438011.986976,34.455215,37.900742,-246.961945
1426438012.006064,34.282944,35.661148,-246.129852
1426438012.025883,37.039368,37.383911,-245.797028
1426438012.045688,36.694809,36.005707,-246.795517
1426438012.065497,37.556198,34.110672,-243.966446
1426438012.085312,39.968063,36.522537,-245.297775
1426438012.105118,39.795776,35.316605,-243.467194
1426438012.124954,40.829437,34.972046,-243.134369
1426438012.144731,41.863098,34.972046,-242.801529
1426438012.164567,40.829437,35.316605,-244.132858
1426438012.184372,40.829437,34.972046,-242.468704
1426438012.204179,42.035370,36.177979,-240.970947
1426438012.223977,42.379929,35.488876,-240.970947
1426438012.243804,42.035370,36.522537,-242.302277
1426438012.263595,40.657166,35.144318,-242.302277
1426438012.283425,41.690811,36.867081,-242.635117
1426438012.303230,42.207642,36.350250,-242.135864
1426438012.323024,39.968063,36.177979,-242.635117
1426438012.342839,41.001709,35.833435,-242.967941
1426438012.362648,41.173996,37.383911,-244.132858
1426438012.382453,39.106674,35.316605,-244.465698
1426438012.402266,37.383911,36.694809,-245.464188
1426438012.422081,37.211639,34.110672,-244.964951
1426438012.441888,38.073013,35.316605,-244.798523
1426438012.461704,36.177979,34.455215,-243.300781
1426438012.481507,34.972046,34.972046,-246.462692
1426438012.501312,34.972046,34.282944,-246.129852
1426438012.521117,36.867081,36.522537,-245.963440
1426438012.540925,34.799774,35.488876,-246.961945
1426438012.560735,35.144318,37.211639,-246.296280
1426438012.580543,36.350250,36.005707,-247.128357
1426438012.600380,37.728470,37.728470,-245.131363
1426438012.620186,38.417572,37.383911,-243.800034
1426438012.639991,39.106674,36.350250,-244.798523
1426438012.659797,39.451233,37.383911,-243.800034
1426438012.679626,40.829437,37.039368,-244.132858
1426438012.699409,41.001709,37.211639,-243.966446
1426438012.719234,41.863098,39.106674,-243.134369
1426438012.739034,42.552200,38.417572,-242.135864
