-0.03416037,0.08414817,-5.326322e-07,1.43022536198e+12,1.43022536199e+12,888888,0,17
-0.48813492,1.4522799,9.563911,1.43022536198e+12,1.43022536202e+12,777777,0,45
4.199997,-4.199997,-21.899994,1.43022536198e+12,1.43022536203e+12,999999,1,50
0.04259939,-0.087449156,-5.326322e-07,1.43022536203e+12,1.43022536207e+12,888888,52,41
-0.540526,1.5582596,9.436676,1.43022536203e+12,1.43022536208e+12,777777,52,50
14.399994,1.199997,-22.199997,1.43022536203e+12,1.43022536208e+12,999999,53,51
-5.326322e-07,-5.326322e-07,0.07240469,1.43022536208e+12,1.43022536212e+12,888888,100,45
-0.7063811,1.5145504,9.575737,1.43022536208e+12,1.43022536214e+12,777777,100,59
23.09999,7.799988,-21,1.43022536208e+12,1.43022536214e+12,999999,100,62
0.042570896,-0.021351362,0.07452776,1.43022536213e+12,1.43022536216e+12,888888,154,35
-0.5987549,1.5799644,9.53113,1.43022536213e+12,1.43022536217e+12,777777,154,41
23.399994,7.5,-21,1.43022536213e+12,1.43022536217e+12,999999,153,43
0.032944366,-0.03730343,0.05421184,1.43022536218e+12,1.43022536221e+12,888888,200,31
-0.42287064,1.6468753,9.432485,1.43022536218e+12,1.43022536221e+12,777777,200,34
23.399994,7.799988,-20.699997,1.43022536218e+12,1.43022536221e+12,999999,200,37
0.038241394,-0.05003787,-0.028958416,1.43022536222e+12,1.43022536225e+12,888888,249,24
-0.24923173,1.7741107,9.490714,1.43022536222e+12,1.43022536226e+12,777777,249,31
23.399994,7.799988,-18.899994,1.43022536222e+12,1.43022536226e+12,999999,249,32
0.12349504,-0.08625526,-0.11207887,1.43022536228e+12,1.43022536228e+12,888888,299,7
-0.13187577,1.8419197,9.520951,1.43022536227e+12,1.43022536229e+12,777777,298,15
23.09999,7.199997,-19.199997,1.43022536228e+12,1.43022536229e+12,999999,299,16
-5.326322e-07,-0.15233815,-0.20693961,1.43022536232e+12,1.43022536233e+12,888888,349,2
-0.003742218,2.0327728,9.662557,1.43022536233e+12,1.43022536233e+12,777777,350,7
23.09999,8.099991,-19.5,1.43022536233e+12,1.43022536234e+12,999999,350,9
0.041424673,-5.326322e-07,-0.24104644,1.43022536238e+12,1.43022536238e+12,888888,399,1
0.07589218,2.1417463,10.09381,1.43022536238e+12,1.43022536238e+12,777777,400,6
23.699997,7.799988,-19.799988,1.43022536238e+12,1.43022536238e+12,999999,399,8
0.044622596,-0.15766713,-0.19841269,1.43022536242e+12,1.43022536243e+12,888888,449,1
0.1938469,2.2234762,10.000255,1.43022536242e+12,1.43022536243e+12,777777,449,5
23.699997,7.5,-21.299988,1.43022536242e+12,1.43022536243e+12,999999,449,6
0.14694391,-0.2258816,-0.21440019,1.43022536248e+12,1.43022536248e+12,888888,500,1
0.53379,2.2984703,10.01208,1.43022536248e+12,1.43022536248e+12,777777,499,7
23.399994,7.5,-22.199997,1.43022536248e+12,1.43022536248e+12,999999,500,8
-0.03211879,0.17807546,-0.2655611,1.43022536253e+12,1.43022536253e+12,888888,550,1
0.5192702,2.467918,9.222622,1.43022536253e+12,1.43022536253e+12,777777,550,7
23.09999,7.5,-21.899994,1.43022536253e+12,1.43022536254e+12,999999,550,9
-0.13976961,-0.07772835,-0.29860267,1.43022536258e+12,1.43022536258e+12,888888,600,1
-0.083376616,2.5152197,7.912845,1.43022536258e+12,1.43022536258e+12,777777,600,8
23.09999,7.5,-21.899994,1.43022536258e+12,1.43022536258e+12,999999,600,9
-0.25381577,-0.07026724,-0.24531016,1.43022536263e+12,1.43022536263e+12,888888,650,1
-0.3770659,2.3939717,8.417147,1.43022536263e+12,1.43022536263e+12,777777,650,7
22.199997,8.399994,-22.799988,1.43022536263e+12,1.43022536264e+12,999999,650,9
-0.13017718,-0.13635013,-0.17070064,1.43022536268e+12,1.43022536268e+12,888888,699,3
-0.051642608,2.2189856,9.6002865,1.43022536268e+12,1.43022536269e+12,777777,699,11
22.5,9,-21.899994,1.43022536268e+12,1.43022536269e+12,999999,699,12
0.052083176,-0.094781905,0.04353523,1.43022536272e+12,1.43022536273e+12,888888,749,1
0.120050356,2.2430854,10.024504,1.43022536272e+12,1.43022536274e+12,777777,749,20
22.199997,9.599991,-22.199997,1.43022536272e+12,1.43022536275e+12,999999,749,29
0.12562717,-0.17045748,0.1138813,1.43022536277e+12,1.43022536281e+12,888888,798,34
0.23800507,2.546804,10.144854,1.43022536278e+12,1.43022536282e+12,777777,799,40
21.899994,9.899994,-22.5,1.43022536278e+12,1.43022536282e+12,999999,799,44
0.2908337,-0.17152329,-0.08543261,1.43022536282e+12,1.43022536285e+12,888888,849,23
0.21255799,2.910248,11.331586,1.43022536282e+12,1.43022536286e+12,777777,849,30
22.199997,9.299988,-22.199997,1.43022536282e+12,1.43022536286e+12,999999,849,31
-0.42008808,0.16528536,-0.60876507,1.43022536288e+12,1.43022536288e+12,888888,899,4
-1.1784993,2.317331,12.861255,1.43022536287e+12,1.43022536288e+12,777777,898,10
21.59999,9.599991,-22.799988,1.43022536288e+12,1.43022536289e+12,999999,899,11
-0.37105903,-0.3388614,0.53169453,1.43022536293e+12,1.43022536293e+12,888888,950,1
-1.2609777,0.7728429,14.0176,1.43022536293e+12,1.43022536293e+12,777777,950,4
21.299988,9.899994,-22.199997,1.43022536293e+12,1.43022536293e+12,999999,950,5
0.06487354,0.9220391,0.5252992,1.43022536298e+12,1.43022536298e+12,888888,1000,1
-0.2694397,0.64066774,13.946947,1.43022536298e+12,1.43022536298e+12,777777,1000,4
