timestamp,x (in radians/s),y (in radians/s),z (in radians/s)
1426433464.115822,-0.015049,0.035646,-0.043454
1426433464.125828,0.010549,0.054739,-0.050971
1426433464.135847,0.024400,0.061080,-0.054213
1426433464.145853,0.023307,0.055761,-0.054225
1426433464.155839,0.009369,0.042026,-0.057394
1426433464.165845,-0.018475,0.014516,-0.059475
1426433464.175858,-0.052724,-0.012938,-0.063652
1426433464.185864,-0.084822,-0.031853,-0.071006
1426433464.195861,-0.103072,-0.040137,-0.084781
1426433464.205867,-0.103183,-0.039996,-0.099683
1426433464.215898,-0.088173,-0.029492,-0.093337
1426433464.225904,-0.078397,-0.023360,-0.072074
1426433464.235887,-0.079355,-0.021345,-0.059289
1426433464.245893,-0.083626,-0.026666,-0.057156
1426433464.255910,-0.091131,-0.031917,-0.060329
1426433464.265916,-0.092137,-0.019121,-0.061347
1426433464.275924,-0.076095,-0.011799,-0.057145
1426433464.285930,-0.054755,-0.024843,-0.042390
1426433464.295937,-0.046174,-0.028188,-0.031798
1426433464.305943,-0.046169,-0.019617,-0.037093
1426433464.315949,-0.050536,-0.024817,-0.047734
1426433464.325955,-0.046406,-0.038615,-0.055251
1426433464.335962,-0.032544,-0.040865,-0.051070
1426433464.345968,-0.019667,-0.046426,-0.034119
1426433464.355975,-0.018542,-0.062589,-0.015016
1426433464.365981,-0.030271,-0.076438,-0.007551
1426433464.375988,-0.047316,-0.068824,-0.013829
1426433464.385994,-0.052567,-0.036722,-0.026472
1426433464.396001,-0.041749,-0.002693,-0.027479
1426433464.406007,-0.024513,0.021613,-0.017904
1426433464.416013,-0.016898,0.038519,-0.008306
1426433464.426019,-0.016848,0.048104,-0.008275
1426433464.436027,-0.015849,0.041748,-0.012559
1426433464.446033,-0.005328,0.026838,-0.019047
1426433464.456039,-0.000058,0.025803,-0.025464
1426433464.466045,0.010595,0.034312,-0.030812
1426433464.476052,0.025570,0.045931,-0.029784
1426433464.486058,0.042645,0.042567,-0.022428
1426433464.496065,0.052239,0.033921,-0.015053
1426433464.506071,0.049058,0.031780,-0.011850
1426433464.516078,0.039471,0.037200,-0.016043
1426433464.526084,0.027753,0.043708,-0.021286
1426433464.536091,0.025583,0.043771,-0.026598
1426433464.546097,0.032956,0.033108,-0.029863
1426433464.556104,0.055285,0.028730,-0.031053
1426433464.566110,0.086164,0.024262,-0.028028
1426433464.576117,0.109683,0.017575,-0.011134
1426433464.586123,0.116196,0.007731,0.012221
1426433464.596129,0.103574,0.006537,0.033570
1426433464.606135,0.073876,0.005492,0.049683
1426433464.616141,0.033396,-0.010331,0.058349
1426433464.626147,-0.003965,-0.028222,0.058477
1426433464.636167,-0.027518,-0.041861,0.051098
1426433464.646173,-0.040358,-0.049213,0.047944
1426433464.656157,-0.045724,-0.058777,0.049004
1426433464.666163,-0.049970,-0.050192,0.044795
1426433464.676181,-0.053126,-0.024492,0.032121
1426433464.686187,-0.055217,-0.002014,0.021559
1426433464.696188,-0.055161,0.011851,0.019475
1426433464.706194,-0.054126,0.007595,0.018392
1426433464.716212,-0.056393,-0.009372,0.011960
1426433464.726218,-0.067106,-0.015660,0.007735
1426433464.736225,-0.089495,-0.005845,-0.002767
1426433464.746231,-0.112969,0.009362,-0.019633
1426433464.756230,-0.128997,0.024535,-0.037600
1426433464.766236,-0.138623,0.033222,-0.049234
1426433464.776243,-0.142872,0.039667,-0.052385
1426433464.786249,-0.148257,0.038703,-0.059813
1426433464.796251,-0.153687,0.039940,-0.074685
1426433464.806257,-0.158052,0.033666,-0.084265
1426433464.816265,-0.163464,0.019872,-0.086412
1426433464.826271,-0.164721,-0.012041,-0.089704
1426433464.836281,-0.159679,-0.053526,-0.098382
1426433464.846287,-0.154525,-0.070495,-0.109108
1426433464.856296,-0.150312,-0.064029,-0.119754
1426433464.866302,-0.146027,-0.043717,-0.130354
1426433464.876309,-0.146051,-0.036181,-0.138845
1426433464.886315,-0.153565,-0.041423,-0.143083
1426433464.896334,-0.174942,-0.054060,-0.145147
1426433464.906340,-0.216496,-0.065577,-0.140720
1426433464.916347,-0.272868,-0.073904,-0.126627
1426433464.926353,-0.337733,-0.078997,-0.111417
1426433464.936360,-0.398392,-0.074398,-0.110035
1426433464.946366,-0.434640,-0.070913,-0.118359
1426433464.956373,-0.426161,-0.067696,-0.125843
1426433464.966379,-0.376218,-0.070003,-0.137809
1426433464.976386,-0.304848,-0.053303,-0.145562
1426433464.986392,-0.246127,-0.018464,-0.148934
1426433464.996399,-0.219371,0.019804,-0.157458
1426433465.006405,-0.221449,0.046552,-0.169070
1426433465.016411,-0.248054,0.055266,-0.173167
1426433465.026417,-0.294823,0.062940,-0.167586
1426433465.036424,-0.351057,0.082313,-0.154468
1426433465.046430,-0.398784,0.102722,-0.143518
1426433465.056437,-0.428447,0.114497,-0.131621
1426433465.066443,-0.432597,0.115455,-0.117759
1426433465.076446,-0.409206,0.098210,-0.110480
1426433465.086452,-0.365600,0.076578,-0.102252
1426433465.096464,-0.327130,0.081540,-0.087524
1426433465.106470,-0.301392,0.095097,-0.072704
1426433465.116471,-0.291688,0.101320,-0.061022
1426433465.126477,-0.293681,0.101160,-0.042916
1426433465.136490,-0.302016,0.100977,-0.018390
1426433465.146496,-0.307183,0.098665,0.003983
1426433465.156502,-0.313370,0.104879,0.026390
1426433465.166508,-0.314295,0.106853,0.043433
1426433465.176515,-0.304634,0.103482,0.056149
1426433465.186521,-0.279112,0.092654,0.059180
1426433465.196528,-0.237722,0.077576,0.051472
1426433465.206534,-0.180328,0.073087,0.040526
1426433465.216553,-0.119665,0.073843,0.035968
1426433465.226559,-0.062159,0.072427,0.037806
1426433465.236553,-0.009947,0.072076,0.042867
1426433465.246559,0.035848,0.077158,0.040527
1426433465.256559,0.080606,0.095077,0.032911
1426433465.266565,0.124253,0.108772,0.022093
1426433465.276579,0.171100,0.116008,0.016560
1426433465.286585,0.210560,0.118915,0.022760
1426433465.296599,0.244692,0.105778,0.039580
1426433465.306605,0.260722,0.086313,0.060727
1426433465.316618,0.267222,0.072199,0.085132
1426433465.326624,0.258951,0.071934,0.118174
1426433465.336618,0.228618,0.106801,0.166343
1426433465.346624,0.153767,0.166330,0.224396
1426433465.356627,0.035222,0.207933,0.290060
1426433465.366633,-0.101713,0.204982,0.348218
1426433465.376644,-0.209359,0.136052,0.382594
